Row.names	cluster	10062_at	10437_at	1075_at	10859_at	10935_at	1116_at	1213_at	1291_at	140885_at	1437_at	1508_at	1520_at	1536_at	1958_at	2170_at	23157_at	2357_at	2512_at	2625_at	2956_at	2980_at	30009_at	3055_at	3458_at	3597_at	3717_at	5306_at	5359_at	55509_at	558_at	64065_at	6648_at	6772_at	6948_at	7070_at	7111_at	7299_at	7453_at	847_at	8566_at	8804_at	9056_at	9114_at	9246_at	940_at	943_at	958_at	966_at	hist
AITL..1	AITL..1	1	8.30435946947761	10.8549644285297	9.02402751780135	7.01876854122148	9.24990182141343	9.55183658136174	10.5628443943752	6.04123842487135	6.83288328218051	4.89364030524123	9.33272968063025	9.8232721598748	7.3946088377692	7.81769689920403	4.92704549246572	8.49412014826088	8.16092473308158	12.100032154191	6.1413845819144	6.67591475712832	4.52639802640243	5.97360831507664	8.10192855734098	7.94967514569305	6.53224237153231	6.64145294058574	7.30875416507596	9.55160667988576	6.62827238616256	5.79824075421073	4.87121873078072	7.33812678096836	10.9746395053789	7.0444371545598	8.45454393434139	4.9360809856	3.08631007879642	10.3540855263395	8.10409804453991	6.84912244780516	9.06780868737266	8.38990304823939	9.09607501276327	9.55035385216587	7.90984555141054	6.79047965397678	7.21270479357824	8.40401797811691	AITL
AITL..106	AITL..106	1	8.42725226480427	10.7856486250541	9.79581041435028	6.75854302021907	10.2021145722691	8.33846316374428	10.8380382815495	5.42423679883143	6.15288663539451	4.64714707450079	9.15173368797389	8.87516179053434	7.11690018628478	6.03967800217991	4.06599883338914	7.53625377158247	8.54790723312361	12.6348489275659	6.55008545194395	7.22615216880672	4.41400606966653	5.57847803883034	7.19098835250583	6.76134188469536	6.60796748802386	6.16214088169616	7.27414287436167	9.40582417346022	6.8605735882037	5.64597371357395	4.84787723811278	7.82379993580849	10.0469064973132	7.67715788096619	7.62687628316441	5.16722167101398	3.10536391288886	9.92928989581829	7.63450037322261	6.90910216549001	9.16178701330726	8.647596238086	9.68207949989108	9.68792902731052	8.38050578424322	6.28319042750837	6.93215943215935	8.7382923100297	AITL
AITL..11	AITL..11	1	8.46982016763541	10.3570166008536	10.0085737215715	6.87742151365377	10.602331401843	8.79368888884042	10.3640409494206	6.11324112900051	6.23827781692571	4.5026442090027	7.92208065562199	8.61117221959976	6.47494762098426	5.75804099799504	4.04828747519397	8.70994370869082	7.08355955406718	11.9642510300678	6.75441201527003	7.2222426989275	5.15603275355482	6.34978018492209	7.49878956409149	7.16520474485573	6.05073668240305	6.25212398154221	7.66295482991688	8.71510121584231	7.18210809396609	5.29761188985918	5.55834835076264	6.34959263146527	10.0950633021358	6.37862826198798	8.39308028366879	5.17018317900481	3.32886923244158	10.0676803855335	7.5179896378087	7.10454756771279	8.68149414797963	8.4269429495563	8.86769815686367	9.27642869183023	6.29455443450585	7.60834430385815	6.66785510605929	7.81821475351881	AITL
AITL..110	AITL..110	1	9.29122905217832	10.9444157107691	10.8548815770286	8.37603187425642	10.5607143772911	7.61199609843246	10.451493739279	6.62007251303235	6.73896527895752	4.74116894144594	10.050178098516	10.3929170117962	7.87208349611695	5.72682396690358	5.30844166651676	7.62894041001778	8.29558522789168	12.9703548304562	6.88047125472191	6.93231341433107	4.5315245730587	5.67110053577621	8.63059335924469	8.20740337832459	7.34218301574595	7.04035043825725	7.43069422498878	9.50003432452876	8.42087349239956	5.75821745873213	4.50903887568507	7.52742214309011	10.5348184371178	8.09679453104169	8.46596862525269	5.72430653309483	3.20484218532525	10.7041960740699	8.33470289906076	7.08208401907241	10.1768748444016	9.05895617486344	9.86342890518656	10.3203217969337	6.89834674561973	5.80255659937102	7.55574151332633	8.69542050122541	AITL
AITL..113	AITL..113	1	8.83341190775107	10.7573106090072	9.78240546123239	7.26913894381854	10.5597332463602	9.59374812013179	10.8766584986979	5.48672207435544	6.40890956593697	4.5096176446837	9.41485262401473	9.64804824708628	7.51157519127907	6.69023524622269	4.70570037873241	7.05025243953046	8.5707556611334	12.5476848681131	5.93139429544102	6.9629407335366	4.55701919403824	5.80799030183438	7.22060303366941	8.18165206362875	6.74591572901867	6.97660943909566	7.11322062059011	9.71054268496363	6.59128493149304	6.0633713235317	5.70830054283686	7.81796462355073	10.0830617721015	7.09566879699273	8.43969721094861	5.13164185081627	2.82661196343514	9.9833725116013	8.18457702985678	6.83289621940439	9.82594248234342	8.64615637259823	9.50280801332959	9.5357378456307	6.83417719520505	5.97722660356277	7.13802300818115	8.79321103466154	AITL
AITL..114	AITL..114	1	7.66726570929715	10.2050722375769	8.70541359430265	7.09796242703966	10.2664293590715	7.02353856348085	10.795082233283	5.77328445765781	6.25895681505873	4.37543193817768	9.23684665275313	8.86701916436344	7.19471157275897	6.51488474369042	4.41311751922839	8.01288872707795	8.13409389133042	12.3323574482807	7.04242849731422	7.55321050281392	4.27600788131536	6.51382830239392	7.24600286533789	5.65923570499654	6.12257311973104	6.50937433748925	7.03624504133978	9.71367392862439	5.95527346729499	6.2571063738703	4.73873171789936	7.42041527387733	9.51903030359399	6.05171632054584	8.17998486226972	4.64644319238186	3.38688318336535	9.24799376024555	7.98667398918269	6.63789248590163	8.85975207591799	7.96819395232812	9.54958597794204	9.31118356251834	6.97830831298801	6.61878578204886	6.88931715389291	8.0432417891037	AITL
AITL..127	AITL..127	1	8.31989962498852	10.2803532852692	9.52724595816156	6.68330125041977	10.4510362113073	8.87287337511754	10.6198122095998	5.21473284125351	6.19733793533218	4.05291697262111	9.04833461721782	9.24226313849439	6.52465442910466	5.80466219012142	3.94783904205391	7.2070551378164	7.66269976279544	12.3835231782619	6.51731502929483	7.478039665369	4.64220591914709	5.06202048174283	6.99283365737826	6.74765660860032	6.40446814844567	6.56366428451443	7.13544336177394	9.65819762807213	6.51209556031996	5.55944894100335	5.11423363447031	7.03023581859134	9.78066658690449	6.91597968363233	7.61333554624439	5.22276642130631	3.1624896085457	9.69001203048808	7.91281049084627	6.76791411279458	9.30306976356106	8.42034117952383	9.48163424869095	9.68085964471456	7.24492491098901	6.15418061132265	7.04757595882812	8.35062885388967	AITL
AITL..129	AITL..129	1	8.84963101819433	10.2176786233535	9.84823909364158	6.27885077065667	10.3987575367104	9.73928540793668	10.8710370548754	5.75987766662187	6.570213832872	4.63466983752682	9.41501657461568	9.25111780919173	7.57198185731359	6.14450358251017	4.24928774650197	7.12777565888788	7.76080464831486	12.5463872330688	6.53882469231329	7.40029663199525	4.96582873974075	4.74288662820848	7.82549190977074	7.51138285516315	6.92849449853955	7.40325889078809	6.80396583296658	9.90962299779346	6.25049595036302	5.5526446226317	5.21907392566424	7.48737461939279	10.0762156849115	6.39406915264624	8.76088287583313	4.88115948482343	2.93498240877623	9.49201061127144	7.83238786466357	7.06053145948638	9.58369449886892	8.47007427196782	9.27747972274599	9.77004154498287	7.56486961490168	7.17851860097068	6.93549688959959	8.10192308733468	AITL
AITL..133	AITL..133	1	7.65076543371389	10.0468757802327	9.19603461806144	5.90625640073364	10.5248855348428	8.57974552481136	10.4930652452725	5.05597345665322	5.86978325084139	4.11477458238967	9.20348186200686	9.35340923787595	6.88554428703945	7.29016957625022	4.16996098944797	7.59704348660198	8.17561966726758	12.3133624015123	6.97021624425565	7.14977863821644	4.74242745990748	5.16257234873037	7.06603158914674	5.44727538355816	7.00594524454142	6.6964067983358	6.94560070965242	9.89679816603893	6.20686988751999	5.76297073782233	5.82101630415705	7.83596618023642	9.32646647650944	7.69146930318989	7.94092624086353	5.09720219420693	3.18703487692328	9.00940682126117	8.25119594914035	6.65339810852432	9.36165834797238	8.29281657606017	9.5232958204134	9.38210644208011	7.9808720030789	6.57364704037184	6.66660989689644	8.9992929913187	AITL
AITL..137	AITL..137	1	8.85579698123944	10.9127104015692	10.5659849031711	8.45302736362336	10.1205272970883	8.57684188044106	10.829815812748	6.32681856618472	6.60515484324772	4.25601819766445	9.94061836259853	9.85208097619226	7.33034670326956	6.44596703348701	4.21519691497441	7.70520545802724	7.77414685050566	12.8724607779303	6.73495745581232	7.1557031894261	4.25128981703991	5.54052899228712	8.16487815289362	7.39546631420734	6.7358788857604	6.90672974747093	7.26097610985519	9.7485948817321	7.82037580906453	5.95425007739895	4.88753009219684	7.32735520218087	10.2237656861034	7.53296753093125	8.35716698385786	5.06676543120309	3.07475615937273	10.3067236922155	8.43087809600667	6.93058099466674	10.2776281008952	8.4783198266525	9.67844917217732	10.0323243826272	6.73644656664822	6.04529014888484	7.81789664079031	8.72490474713568	AITL
AITL..144	AITL..144	1	8.31418091080336	9.92379480868871	10.0123201219769	7.89631891240053	10.0741322127577	9.42390936967873	10.9612978306013	5.96902763740379	6.69205890165291	4.53400817752046	9.21137609644764	9.56312592942175	7.22776507738683	6.61744867708158	3.95489109826952	7.57728598968071	7.5211570685746	12.5512506291333	6.66127734621425	6.69687953965833	4.52487842032422	5.47801917853751	7.40390621913368	6.96576548426713	6.34846128552485	6.64439055342209	7.11907775438087	9.32122386410111	6.84757690899292	5.83151597610711	4.86257554556562	7.19981683778575	10.0444060859624	7.58622991456485	8.19447683568762	5.18247046881225	2.98883693184627	9.57093591348842	7.87776387311865	6.95767354980834	9.60594833044887	8.18685873454489	9.68259476320564	9.60002879855857	6.20004145822062	5.6937514415979	7.78014138835646	8.50596423372815	AITL
AITL..147	AITL..147	1	8.5918762346824	11.009430937346	9.57361105085099	7.1888786813013	10.4820636582337	10.5039133592806	10.8716085748087	5.57587983825362	6.5519068752338	4.74321378387392	9.37314943436125	9.70480862818065	7.49470028075009	6.41021426871179	4.34435945862443	8.12902049119965	7.52513960209824	12.6349709343734	6.41368613310121	7.37159343989249	5.06358248680096	6.6454910955595	8.00370600570204	7.06322566444972	5.99448774704971	6.48716245453334	7.30114948117684	9.31548893301886	6.99591062612148	5.08435649495555	5.87749989671279	7.46492423293065	10.6270436385298	6.96584824958775	7.98226393295579	4.9091016431471	3.3968274132208	10.4289476775283	7.74844518470694	6.87479489419191	9.34817579749936	8.41336659915072	8.60814584455123	9.91485431000195	6.18701974998359	6.93825467093328	7.10768049190115	7.80601709888754	AITL
AITL..150	AITL..150	1	9.10380650813504	11.2039727230112	10.1928388754411	9.01967949264236	10.1521337759833	8.43971409724132	11.0518839946413	6.72824541694483	7.58311331147376	3.95157844455211	10.2723854481639	9.82591289142498	8.73199776370031	8.87208540347288	4.31548748756188	7.92275817140361	9.72260080748774	12.8755997414365	6.47394425355069	6.80391599005289	4.19417545919624	7.32138910065393	9.65336222221971	7.561866805167	6.78411985052613	7.47656680804978	7.92847007752889	10.4050403326772	8.38002788806249	6.45479203242773	4.61003143631144	7.97145486654417	11.2890324067234	7.56834741319753	8.40949038874463	5.16552633672257	2.99325619648878	11.2720404739422	8.55551076278724	7.17839585200059	10.4678197970177	9.4817280630562	9.86018822950513	10.7820902887961	6.03439282206096	5.37293984060592	7.32174082043412	9.30736877853722	AITL
